-0.0018849977,-0.0019006341,-0.0000849009,0.0000076588,0.0000002335,0.0000074200,0.0000000903,-0.0000002224,0.0000075307,0.0000064640,0.0000138137,0.0000060026,0.0000156158,0.0000025225,0.0000176015,-0.0018988308
-0.0018849927,-0.0019006291,-0.0018936076,0.0000003603,-0.0000070650,0.0000001216,-0.0000072081,-0.0000075208,0.0000002322,-0.0000008344,0.0000065153,-0.0000012958,0.0000083173,-0.0000047759,0.0000103030,0.0000030664
0.0000156381,-0.0019006587,-0.0018936371,-0.0019015614,-0.0000083266,-0.0000011400,-0.0000084698,-0.0000087825,-0.0000010293,-0.0000020960,0.0000052538,-0.0000025574,0.0000070559,-0.0000060376,0.0000090416,0.0000018049
0.0000149940,-0.0000006421,-0.0018935761,-0.0019015002,-0.0019089254,-0.0000017836,-0.0000091131,-0.0000094258,-0.0000016729,-0.0000027396,0.0000046100,-0.0000032010,0.0000064120,-0.0000066810,0.0000083977,0.0000011612
0.0000143674,-0.0000012687,0.0000057527,-0.0019015094,-0.0019089347,-0.0019017482,-0.0000097398,-0.0000100525,-0.0000022995,-0.0000033662,0.0000039834,-0.0000038276,0.0000057854,-0.0000073077,0.0000077711,0.0000005346
0.0000137810,-0.0000018547,0.0000051665,-0.0000027574,-0.0019088723,-0.0019016861,-0.0019090155,-0.0000106382,-0.0000028855,-0.0000039521,0.0000033973,-0.0000044135,0.0000051992,-0.0000078934,0.0000071849,-0.0000000515
0.0000137459,-0.0000018902,0.0000051312,-0.0000027929,-0.0000102181,-0.0019017427,-0.0019090722,-0.0019093849,-0.0000029210,-0.0000039877,0.0000033619,-0.0000044491,0.0000051639,-0.0000079291,0.0000071497,-0.0000000869
0.0000137545,-0.0000018817,0.0000051398,-0.0000027844,-0.0000102096,-0.0000030231,-0.0019090732,-0.0019093858,-0.0019016329,-0.0000039791,0.0000033705,-0.0000044405,0.0000051725,-0.0000079206,0.0000071582,-0.0000000784
0.0000142488,-0.0000013878,0.0000056338,-0.0000022906,-0.0000097160,-0.0000025294,-0.0000098592,-0.0019094476,-0.0019016944,-0.0019027611,0.0000038644,-0.0000039468,0.0000056665,-0.0000074270,0.0000076523,0.0000004155
0.0000153314,-0.0000003051,0.0000067165,-0.0000012079,-0.0000086333,-0.0000014466,-0.0000087764,-0.0000090891,-0.0019016798,-0.0019027465,-0.0018953968,-0.0000028641,0.0000067492,-0.0000063442,0.0000087349,0.0000014982
-0.0000001119,-0.0000157484,-0.0000087268,-0.0000166511,-0.0000240765,-0.0000168899,-0.0000242196,0.0000746726,-0.0000167792,-0.0019027394,-0.0018953896,-0.0019032008,-0.0000086941,0.0000774175,-0.0000067084,-0.0000139451
0.0000085347,-0.0000071015,-0.0000000801,-0.0000080042,0.0000792462,-0.0000082430,0.0000791030,-0.0000158853,-0.0000081323,-0.0000091990,-0.0018953622,-0.0019031732,-0.0018935602,-0.0000131405,-0.0000927373,-0.0000052982
0.0000150466,-0.0000005898,0.0000064317,-0.0000014925,-0.0000089179,-0.0000017313,-0.0000090610,-0.0000093737,-0.0000016206,-0.0000026873,0.0000046624,-0.0019031933,-0.0018935802,-0.0019066734,0.0000084502,0.0000012135
-0.0000768566,0.0000079622,0.0000149840,0.0000070594,-0.0000003661,0.0000068207,-0.0000005093,-0.0000008220,0.0000069313,0.0000058646,0.0000132146,0.0000054032,-0.0018936419,-0.0019067356,-0.0018916561,0.0000097656
-0.0000624676,0.0000231513,0.0000301731,0.0000222485,0.0000148229,0.0000220098,0.0000146798,0.0000143671,0.0000221204,0.0000210537,-0.0000728522,0.0000205923,-0.0000710501,-0.0019067505,-0.0018916708,-0.0018989078
-0.0018850518,0.0000015552,0.0000085770,0.0000006525,-0.0000067731,0.0000004137,-0.0000069162,-0.0000072289,0.0000005244,-0.0000005424,0.0000068076,-0.0000010038,0.0000086097,-0.0000044840,-0.0018916484,-0.0018988853
